Connection error occurred,"HTTPConnectionPool(host='191.37.183.209', port=60139): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f620ac0fda0>, 'Connection to 191.37.183.209 timed out. (connect timeout=10.48)'))"
Connection error occurred;HTTPConnectionPool(host='51.254.152.142', port=80): Max retries exceeded with url: http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fd2c4a38208>, 'Connection to 51.254.152.142 timed out. (connect timeout=15.2)'))
2019-07-10 19:36:07.697501;Connection error occurred;HTTPConnectionPool(host='138.197.222.35', port=8080): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2de2acc0>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:36:08.215043;HTTP error occurred;
2019-07-10 19:36:08.479966;Connection error occurred;HTTPConnectionPool(host='138.197.222.35', port=3128): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d6c03c8>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:36:08.982113;HTTP error occurred;
2019-07-10 19:36:09.373722;HTTP error occurred;
2019-07-10 19:36:09.756058;HTTP error occurred;
2019-07-10 19:36:10.135366;HTTP error occurred;
2019-07-10 19:36:10.380803;HTTP error occurred;
2019-07-10 19:36:10.595277;Connection error occurred;HTTPConnectionPool(host='138.197.157.44', port=3128): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6b2d6c0278>: Failed to establish a new connection: [Errno 111] Connection refused')))
2019-07-10 19:36:12.706049;Connection error occurred;('Connection aborted.', BadStatusLine('\x00[\x00\x00\x00\x00\x00\x00'))
2019-07-10 19:36:13.116916;Connection error occurred;HTTPConnectionPool(host='138.197.157.32', port=1080): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:36:13.352510;HTTP error occurred;
2019-07-10 19:36:13.586608;HTTP error occurred;
2019-07-10 19:36:13.822711;HTTP error occurred;
2019-07-10 19:36:14.087681;HTTP error occurred;
2019-07-10 19:36:14.334526;HTTP error occurred;
2019-07-10 19:36:15.389322;Connection error occurred;HTTPConnectionPool(host='95.65.73.200', port=48368): Max retries exceeded with url: http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(104, 'Connection reset by peer')))
2019-07-10 19:36:29.427052;Connection error occurred;HTTPConnectionPool(host='190.109.167.9', port=57608): Max retries exceeded with url: http://www.i28.com/nike-%E6%BB%91%E6%9D%BF%E9%9E%8B-c-1008/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d3f3208>, 'Connection to 190.109.167.9 timed out. (connect timeout=11.92)'))
2019-07-10 19:36:53.909898;Connection error occurred;HTTPConnectionPool(host='190.12.58.187', port=53281): Max retries exceeded with url: http://www.i28.com/nike-%E6%B0%94%E5%9E%AB%E9%9E%8B-c-1001/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2d19c7b8>, 'Connection to 190.12.58.187 timed out. (connect timeout=15.2)'))
2019-07-10 19:37:09.126577;Connection error occurred;HTTPConnectionPool(host='45.7.231.243', port=80): Max retries exceeded with url: http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f6b2cf54240>, 'Connection to 45.7.231.243 timed out. (connect timeout=7.5600000000000005)'))
2019-07-10 19:37:11.062174;Connection error occurred;HTTPConnectionPool(host='117.242.154.73', port=55446): Max retries exceeded with url: http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/ (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2019-07-10 19:37:11.592779;HTTP error occurred;502 Server Error: Bad Gateway for url: http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/
